datetime,open,high,low,close,volume,turnover,open_interest
2023-11-28 14:55:00,6139.28,6143.30,6138.83,6139.28,7826,720445500.00,1050806
2023-11-28 15:00:00,6141.69,6144.66,6139.21,6141.69,13637,1255917915.00,1051619
2023-11-28 21:05:00,6137.71,6147.90,6131.16,6137.71,28041,2582076420.00,1050477
2023-11-28 21:10:00,6135.04,6139.45,6128.66,6135.04,13460,1237773540.00,1049773
2023-11-28 21:15:00,6121.20,6135.04,6120.46,6121.20,17916,1645632435.00,1050061
2023-11-28 21:20:00,6125.01,6126.42,6116.12,6125.01,17116,1571017230.00,1049503
2023-11-28 21:25:00,6129.92,6133.43,6122.59,6129.92,16190,1487799120.00,1049276
2023-11-28 21:30:00,6137.79,6138.84,6127.43,6137.79,18873,1735595445.00,1049524
2023-11-28 21:35:00,6137.58,6140.36,6134.88,6137.58,13154,1210407855.00,1050140
2023-11-28 21:40:00,6134.26,6139.40,6132.28,6134.26,8646,795333720.00,1050135
2023-11-28 21:45:00,6140.91,6151.75,6133.27,6140.91,28703,2644473960.00,1051231
2023-11-28 21:50:00,6135.05,6142.88,6128.77,6135.05,22933,2108996445.00,1049839
2023-11-28 21:55:00,6143.00,6145.66,6135.05,6143.00,12898,1187524035.00,1050757
2023-11-28 22:00:00,6148.13,6150.48,6140.71,6148.13,15849,1460528100.00,1051983
2023-11-28 22:05:00,6146.20,6157.56,6146.20,6146.20,24117,2224614870.00,1053493
2023-11-28 22:10:00,6145.77,6149.23,6142.67,6145.77,10074,928287900.00,1053695
2023-11-28 22:15:00,6148.76,6148.76,6144.27,6148.76,7897,727649505.00,1054320
2023-11-28 22:20:00,6149.67,6153.55,6147.67,6149.67,11424,1053402180.00,1054854
2023-11-28 22:25:00,6159.35,6161.86,6147.88,6159.35,16778,1548305175.00,1055715
2023-11-28 22:30:00,6160.83,6160.83,6152.31,6160.83,15421,1423406415.00,1056845
2023-11-28 22:35:00,6154.60,6163.75,6151.27,6154.60,22662,2092444860.00,1057732
2023-11-28 22:40:00,6155.79,6157.17,6144.14,6155.79,18282,1685575635.00,1058322
2023-11-28 22:45:00,6148.12,6156.32,6144.15,6148.12,21307,1964235210.00,1058527
2023-11-28 22:50:00,6160.79,6162.58,6147.50,6160.79,20681,1909710420.00,1059512
2023-11-28 22:55:00,6157.45,6165.58,6156.92,6157.45,19898,1838490345.00,1061231
2023-11-28 23:00:00,6159.47,6160.61,6153.60,6159.47,13741,1268456595.00,1062593
2023-11-28 23:05:00,6164.52,6170.35,6155.57,6164.52,23018,2126738370.00,1064852
2023-11-28 23:10:00,6158.70,6165.34,6157.46,6158.70,15790,1458425610.00,1066313
2023-11-28 23:15:00,6155.56,6158.17,6151.60,6155.56,13915,1284008850.00,1066656
2023-11-28 23:20:00,6155.71,6159.13,6154.53,6155.71,7728,713376495.00,1066301
2023-11-28 23:25:00,6156.57,6158.22,6153.54,6156.57,8015,739802670.00,1066326
2023-11-28 23:30:00,6154.53,6157.10,6151.89,6154.53,9473,874004070.00,1066629
2023-11-28 23:35:00,6159.36,6160.04,6153.55,6159.36,8205,757368435.00,1066233
2023-11-28 23:40:00,6164.35,6164.89,6154.71,6164.35,12654,1168624545.00,1065944
2023-11-28 23:45:00,6167.15,6169.24,6160.55,6167.15,20119,1859974785.00,1066050
2023-11-28 23:50:00,6163.34,6167.15,6161.85,6163.34,9683,895002285.00,1066388
2023-11-28 23:55:00,6167.49,6170.49,6163.31,6167.49,7477,691357545.00,1066982
2023-11-29 00:00:00,6172.45,6174.84,6166.49,6172.45,12123,1121600160.00,1068219
2023-11-29 00:05:00,6175.81,6178.00,6169.34,6175.81,12687,1174527375.00,1069992
2023-11-29 00:10:00,6188.41,6188.70,6175.42,6188.41,19339,1793458530.00,1072419
2023-11-29 00:15:00,6184.16,6189.69,6180.18,6184.16,12794,1186325910.00,1072850
2023-11-29 00:20:00,6183.13,6184.84,6178.84,6183.13,9758,904450020.00,1073536
2023-11-29 00:25:00,6188.68,6189.96,6182.06,6188.68,9554,886300560.00,1074476
2023-11-29 00:30:00,6184.55,6192.71,6184.55,6184.55,11236,1042692225.00,1075013
2023-11-29 00:35:00,6179.44,6188.45,6178.86,6179.44,10259,951065520.00,1075829
2023-11-29 00:40:00,6182.50,6183.74,6179.44,6182.50,5824,539808645.00,1075560
2023-11-29 00:45:00,6187.80,6187.96,6182.50,6187.80,5471,507441360.00,1075704
2023-11-29 00:50:00,6188.91,6191.59,6186.44,6188.91,9528,884208480.00,1075726
2023-11-29 00:55:00,6194.23,6194.97,6187.38,6194.23,9733,903440685.00,1076308
2023-11-29 01:00:00,6195.24,6195.97,6192.46,6195.24,7613,706865535.00,1076376
2023-11-29 01:05:00,6196.27,6201.97,6194.81,6196.27,13682,1271590770.00,1078376
2023-11-29 01:10:00,6195.16,6196.74,6192.47,6195.16,7783,722903865.00,1078777
2023-11-29 01:15:00,6199.75,6199.87,6194.15,6199.75,4576,425156340.00,1078772
2023-11-29 01:20:00,6195.39,6199.75,6194.48,6195.39,4532,421033200.00,1078823
2023-11-29 01:25:00,6194.15,6197.76,6193.35,6194.15,5080,471860640.00,1079024
2023-11-29 01:30:00,6197.66,6197.80,6194.15,6197.66,3066,284888865.00,1079015
2023-11-29 01:35:00,6196.98,6198.01,6195.74,6196.98,3468,322201155.00,1079283
2023-11-29 01:40:00,6197.92,6199.19,6196.45,6197.92,3678,341805810.00,1079340
2023-11-29 01:45:00,6192.56,6199.02,6191.80,6192.56,5554,515792760.00,1078855
2023-11-29 01:50:00,6190.92,6193.94,6190.38,6190.92,2954,274234965.00,1078553
2023-11-29 01:55:00,6188.65,6191.46,6186.50,6188.65,5440,504745185.00,1078000
2023-11-29 02:00:00,6184.62,6189.86,6181.97,6184.62,5688,527451615.00,1076779
2023-11-29 02:05:00,6187.42,6188.98,6180.91,6187.42,6285,582903075.00,1076603
2023-11-29 02:10:00,6187.69,6190.75,6187.30,6187.69,2927,271607880.00,1076135
2023-11-29 02:15:00,6184.22,6187.69,6182.19,6184.22,3289,304940430.00,1075792
2023-11-29 02:20:00,6185.11,6185.61,6183.57,6185.11,2534,235000020.00,1075668
2023-11-29 02:25:00,6190.24,6190.30,6184.51,6190.24,2747,254835630.00,1075073
2023-11-29 02:30:00,6187.63,6190.34,6187.38,6187.63,4934,457794750.00,1073565
2023-11-29 09:05:00,6230.82,6249.04,6188.96,6230.82,100541,9401612565.00,1080196
2023-11-29 09:10:00,6224.54,6232.14,6221.22,6224.54,28207,2633807070.00,1080601
2023-11-29 09:15:00,6217.68,6224.56,6211.37,6217.68,23736,2213408265.00,1080060
2023-11-29 09:20:00,6218.22,6221.92,6217.19,6218.22,9583,893674725.00,1079752
2023-11-29 09:25:00,6215.14,6219.14,6211.28,6215.14,11728,1093006920.00,1078852
2023-11-29 09:30:00,6225.42,6227.27,6213.46,6225.42,15154,1413888720.00,1078557
2023-11-29 09:35:00,6227.03,6231.34,6223.70,6227.03,11907,1111943175.00,1078939
2023-11-29 09:40:00,6227.78,6228.71,6223.83,6227.78,6273,585634515.00,1079058
2023-11-29 09:45:00,6234.43,6235.13,6227.24,6234.43,11151,1042133760.00,1080662
2023-11-29 09:50:00,6225.33,6234.99,6224.75,6225.33,11394,1064433840.00,1080666
2023-11-29 09:55:00,6224.71,6229.37,6223.82,6224.71,7575,707262615.00,1080199
2023-11-29 10:00:00,6229.15,6229.15,6224.52,6229.15,6235,582311550.00,1079211
2023-11-29 10:05:00,6227.83,6230.39,6226.81,6227.83,5538,517221615.00,1079335
2023-11-29 10:10:00,6217.97,6228.54,6217.97,6217.97,9210,859214745.00,1078784
2023-11-29 10:15:00,6221.73,6223.21,6214.94,6221.73,11853,1105218885.00,1077806
2023-11-29 10:35:00,6218.79,6221.79,6215.71,6218.79,8690,810275040.00,1076700
2023-11-29 10:40:00,6220.84,6222.93,6218.48,6220.84,5375,501429615.00,1076455
2023-11-29 10:45:00,6212.43,6221.37,6208.08,6212.43,15688,1461920745.00,1075990
2023-11-29 10:50:00,6195.86,6214.40,6195.08,6195.86,34269,3188056830.00,1072340
2023-11-29 10:55:00,6200.97,6203.44,6191.86,6200.97,13467,1251607995.00,1071228
2023-11-29 11:00:00,6200.29,6204.03,6197.59,6200.29,6564,610339635.00,1071484
2023-11-29 11:05:00,6184.22,6201.33,6179.98,6184.22,20029,1859334990.00,1069458
2023-11-29 11:10:00,6176.05,6188.84,6165.63,6176.05,32658,3025480950.00,1066639
2023-11-29 11:15:00,6182.74,6185.20,6175.76,6182.74,16621,1540422495.00,1066293
2023-11-29 11:20:00,6172.71,6182.74,6167.23,6172.71,19865,1839561195.00,1065562
2023-11-29 11:25:00,6155.61,6175.77,6154.80,6155.61,26507,2451131685.00,1063000
2023-11-29 11:30:00,6168.01,6170.41,6155.61,6168.01,18396,1700463975.00,1061560
2023-11-29 13:35:00,6168.78,6180.34,6167.13,6168.78,15279,1414575330.00,1061397
2023-11-29 13:40:00,6160.70,6169.93,6157.33,6160.70,13285,1228010880.00,1060680
2023-11-29 13:45:00,6156.49,6162.81,6155.67,6156.49,12729,1175384985.00,1058973
2023-11-29 13:50:00,6157.98,6159.74,6146.62,6157.98,21848,2015641350.00,1056680
2023-11-29 13:55:00,6163.44,6164.14,6157.45,6163.44,8120,750137625.00,1056181
2023-11-29 14:00:00,6155.18,6165.11,6149.79,6155.18,21572,1992248625.00,1054850
2023-11-29 14:05:00,6135.85,6157.09,6130.62,6135.85,29502,2717889810.00,1051402
2023-11-29 14:10:00,6140.66,6146.59,6134.17,6140.66,20678,1904869155.00,1051263
2023-11-29 14:15:00,6133.54,6140.86,6132.45,6133.54,15836,1457050515.00,1049949
2023-11-29 14:20:00,6129.65,6139.89,6128.72,6129.65,19971,1837103670.00,1047032
2023-11-29 14:25:00,6140.55,6142.60,6129.59,6140.55,17403,1602103890.00,1047398
2023-11-29 14:30:00,6142.47,6147.64,6137.52,6142.47,13897,1280263620.00,1046517
2023-11-29 14:35:00,6146.89,6149.97,6142.08,6146.89,12626,1163646075.00,1047083
2023-11-29 14:40:00,6139.56,6149.01,6138.08,6139.56,13847,1275804210.00,1046072
2023-11-29 14:45:00,6144.90,6146.13,6139.56,6144.90,6978,642890160.00,1046291
2023-11-29 14:50:00,6140.69,6146.79,6140.13,6140.69,8696,801150750.00,1045549
2023-11-29 14:55:00,6133.80,6140.86,6128.57,6133.80,17772,1634747265.00,1041302
2023-11-29 15:00:00,6126.49,6135.94,6123.98,6126.49,23443,2155060890.00,1037205
2023-11-29 21:05:00,6126.42,6136.93,6125.80,6126.42,46905,4311001095.00,1025179
2023-11-29 21:10:00,6123.42,6130.18,6120.27,6123.42,23729,2179427865.00,1025130
2023-11-29 21:15:00,6131.38,6134.28,6121.08,6131.38,15314,1407721500.00,1025422
2023-11-29 21:20:00,6122.67,6133.47,6121.69,6122.67,15078,1385330640.00,1025172
2023-11-29 21:25:00,6139.15,6139.15,6122.67,6139.15,20724,1906205610.00,1024988
2023-11-29 21:30:00,6136.97,6142.02,6136.97,6136.97,12530,1153471950.00,1025312
2023-11-29 21:35:00,6131.49,6140.61,6123.80,6131.49,33880,3115909590.00,1024897
2023-11-29 21:40:00,6121.33,6133.09,6116.78,6121.33,24897,2287067295.00,1024967
2023-11-29 21:45:00,6132.15,6133.69,6121.33,6132.15,17588,1616576745.00,1024464
2023-11-29 21:50:00,6134.98,6135.78,6130.52,6134.98,10938,1005914160.00,1025065
2023-11-29 21:55:00,6137.43,6143.69,6134.06,6137.43,17356,1598023035.00,1026258
2023-11-29 22:00:00,6142.88,6150.58,6137.28,6142.88,18114,1669178895.00,1028221
2023-11-29 22:05:00,6145.90,6147.63,6134.20,6145.90,17947,1652451090.00,1028742
2023-11-29 22:10:00,6148.47,6152.65,6145.90,6148.47,15603,1438881195.00,1030306
